#date, runoffcorr (m3WE)
2000-01-01 00:00:00,       181605.906
2000-01-02 00:00:00,       180201.516
2000-01-03 00:00:00,       179920.203
2000-01-04 00:00:00,       182359.703
2000-01-05 00:00:00,       178566.625
2000-01-06 00:00:00,       180376.875
2000-01-07 00:00:00,       178426.109
2000-01-08 00:00:00,       183234.766
2000-01-09 00:00:00,       178028.469
2000-01-10 00:00:00,       180000.672
2000-01-11 00:00:00,       178329.234
2000-01-12 00:00:00,       177863.406
2000-01-13 00:00:00,       178005.500
2000-01-14 00:00:00,       178542.516
2000-01-15 00:00:00,       181912.938
2000-01-16 00:00:00,       171199.047
2000-01-17 00:00:00,       180099.531
2000-01-18 00:00:00,       173979.984
2000-01-19 00:00:00,       177464.781
2000-01-20 00:00:00,       177370.125
2000-01-21 00:00:00,       174261.859
2000-01-22 00:00:00,       175390.406
2000-01-23 00:00:00,       176264.156
2000-01-24 00:00:00,       175771.719
2000-01-25 00:00:00,       172780.172
2000-01-26 00:00:00,       174607.469
2000-01-27 00:00:00,       174275.188
2000-01-28 00:00:00,       173764.438
2000-01-29 00:00:00,       171405.922
2000-01-30 00:00:00,       172692.547
2000-01-31 00:00:00,       171770.703
2000-02-01 00:00:00,       172712.406
2000-02-02 00:00:00,       171331.547
2000-02-03 00:00:00,       174602.344
2000-02-04 00:00:00,       168802.469
2000-02-05 00:00:00,       171484.219
2000-02-06 00:00:00,       170055.953
2000-02-07 00:00:00,       171850.062
2000-02-08 00:00:00,       169198.203
2000-02-09 00:00:00,       170599.062
2000-02-10 00:00:00,       169343.250
2000-02-11 00:00:00,       170463.562
2000-02-12 00:00:00,       169399.219
2000-02-13 00:00:00,       167712.172
2000-02-14 00:00:00,       171777.281
2000-02-15 00:00:00,       168429.875
2000-02-16 00:00:00,       169013.172
2000-02-17 00:00:00,       169794.203
2000-02-18 00:00:00,       164685.688
2000-02-19 00:00:00,       169077.719
2000-02-20 00:00:00,       169110.312
2000-02-21 00:00:00,       167686.797
2000-02-22 00:00:00,       168023.875
2000-02-23 00:00:00,       171702.906
2000-02-24 00:00:00,       165820.703
2000-02-25 00:00:00,       165337.031
2000-02-26 00:00:00,       166327.375
2000-02-27 00:00:00,       168048.203
2000-02-28 00:00:00,       167979.594
2000-02-29 00:00:00,       167252.891
2000-03-01 00:00:00,       166378.422
2000-03-02 00:00:00,       165847.984
2000-03-03 00:00:00,       166014.109
2000-03-04 00:00:00,       168147.922
2000-03-05 00:00:00,       166048.750
2000-03-06 00:00:00,       165092.188
2000-03-07 00:00:00,       167015.484
2000-03-08 00:00:00,       165885.156
2000-03-09 00:00:00,       162985.578
2000-03-10 00:00:00,       165956.016
2000-03-11 00:00:00,       164037.250
2000-03-12 00:00:00,       163989.000
2000-03-13 00:00:00,       165394.828
2000-03-14 00:00:00,       162335.953
2000-03-15 00:00:00,       165669.531
2000-03-16 00:00:00,       164668.094
2000-03-17 00:00:00,       163149.109
2000-03-18 00:00:00,       163047.078
2000-03-19 00:00:00,       163106.016
2000-03-20 00:00:00,       160613.844
2000-03-21 00:00:00,       160647.859
2000-03-22 00:00:00,       165508.062
2000-03-23 00:00:00,       161620.547
2000-03-24 00:00:00,       161583.781
2000-03-25 00:00:00,       163566.828
2000-03-26 00:00:00,       163716.281
2000-03-27 00:00:00,       179506.953
2000-03-28 00:00:00,       181332.734
2000-03-29 00:00:00,       161272.906
2000-03-30 00:00:00,       161256.328
2000-03-31 00:00:00,       161638.969
2000-04-01 00:00:00,       160098.547
2000-04-02 00:00:00,       164135.391
2000-04-03 00:00:00,       162204.844
2000-04-04 00:00:00,       159704.859
2000-04-05 00:00:00,       162833.531
2000-04-06 00:00:00,       161809.891
2000-04-07 00:00:00,       160826.250
2000-04-08 00:00:00,       164963.375
2000-04-09 00:00:00,       161083.500
2000-04-10 00:00:00,       159497.188
2000-04-11 00:00:00,       227814.641
2000-04-12 00:00:00,       278125.781
2000-04-13 00:00:00,       229311.672
2000-04-14 00:00:00,       224299.000
2000-04-15 00:00:00,       191840.906
2000-04-16 00:00:00,       197368.719
2000-04-17 00:00:00,       252902.531
2000-04-18 00:00:00,       212590.078
2000-04-19 00:00:00,       217475.656
2000-04-20 00:00:00,       198785.359
2000-04-21 00:00:00,       162376.969
2000-04-22 00:00:00,       155552.516
2000-04-23 00:00:00,       158347.750
2000-04-24 00:00:00,       202638.766
2000-04-25 00:00:00,       158107.703
2000-04-26 00:00:00,       198321.891
2000-04-27 00:00:00,       218371.344
2000-04-28 00:00:00,       803152.188
2000-04-29 00:00:00,       337702.812
2000-04-30 00:00:00,       311075.812
2000-05-01 00:00:00,       231899.719
2000-05-02 00:00:00,       224760.375
2000-05-03 00:00:00,       848008.812
2000-05-04 00:00:00,       339496.781
2000-05-05 00:00:00,       426513.375
2000-05-06 00:00:00,       313659.656
2000-05-07 00:00:00,       209413.516
2000-05-08 00:00:00,       325415.375
2000-05-09 00:00:00,       211777.297
2000-05-10 00:00:00,       287976.594
2000-05-11 00:00:00,      3272377.000
2000-05-12 00:00:00,      6761551.000
2000-05-13 00:00:00,      6300568.000
2000-05-14 00:00:00,      6269272.000
2000-05-15 00:00:00,      4008121.000
2000-05-16 00:00:00,      2598646.750
2000-05-17 00:00:00,      1129214.375
2000-05-18 00:00:00,       434186.312
2000-05-19 00:00:00,      2594765.000
2000-05-20 00:00:00,      1144106.750
2000-05-21 00:00:00,      2846931.250
2000-05-22 00:00:00,      2601494.750
2000-05-23 00:00:00,      1407519.625
2000-05-24 00:00:00,      1908592.375
2000-05-25 00:00:00,       945484.438
2000-05-26 00:00:00,      1333676.125
2000-05-27 00:00:00,      1765808.500
2000-05-28 00:00:00,      2526825.250
2000-05-29 00:00:00,      1856265.750
2000-05-30 00:00:00,      1323433.500
2000-05-31 00:00:00,      1897365.500
2000-06-01 00:00:00,      1699636.750
2000-06-02 00:00:00,      1231959.625
2000-06-03 00:00:00,      3208653.000
2000-06-04 00:00:00,      3357901.750
2000-06-05 00:00:00,      5600903.000
2000-06-06 00:00:00,      4989723.000
2000-06-07 00:00:00,      5009509.000
2000-06-08 00:00:00,      4936036.500
2000-06-09 00:00:00,      4836226.000
2000-06-10 00:00:00,      4689384.000
2000-06-11 00:00:00,      3761573.000
2000-06-12 00:00:00,      4648798.500
2000-06-13 00:00:00,      4938145.500
2000-06-14 00:00:00,      4510841.500
2000-06-15 00:00:00,      5786406.500
2000-06-16 00:00:00,      6792635.500
2000-06-17 00:00:00,      7375321.000
2000-06-18 00:00:00,      7637986.500
2000-06-19 00:00:00,      8335456.000
2000-06-20 00:00:00,      9280386.000
2000-06-21 00:00:00,      9571178.000
2000-06-22 00:00:00,      9771367.000
2000-06-23 00:00:00,     10166082.000
2000-06-24 00:00:00,     10264861.000
2000-06-25 00:00:00,     11525359.000
2000-06-26 00:00:00,     12542173.000
2000-06-27 00:00:00,     12102024.000
2000-06-28 00:00:00,     14123100.000
2000-06-29 00:00:00,     16027271.000
2000-06-30 00:00:00,     19280260.000
2000-07-01 00:00:00,     21195812.000
2000-07-02 00:00:00,     21876532.000
2000-07-03 00:00:00,     23612742.000
2000-07-04 00:00:00,     24314510.000
2000-07-05 00:00:00,     26633920.000
2000-07-06 00:00:00,     26926654.000
2000-07-07 00:00:00,     28094302.000
2000-07-08 00:00:00,     32737390.000
2000-07-09 00:00:00,     38771388.000
2000-07-10 00:00:00,     35462184.000
2000-07-11 00:00:00,     32936500.000
2000-07-12 00:00:00,     28856956.000
2000-07-13 00:00:00,     30695382.000
2000-07-14 00:00:00,     25901464.000
2000-07-15 00:00:00,     42711468.000
2000-07-16 00:00:00,     37031940.000
2000-07-17 00:00:00,     28356962.000
2000-07-18 00:00:00,     16398830.000
2000-07-19 00:00:00,     21250238.000
2000-07-20 00:00:00,     26653942.000
2000-07-21 00:00:00,     31106238.000
2000-07-22 00:00:00,     30224042.000
2000-07-23 00:00:00,     34537092.000
2000-07-24 00:00:00,     47714344.000
2000-07-25 00:00:00,     33401062.000
2000-07-26 00:00:00,     31989446.000
2000-07-27 00:00:00,     30402184.000
2000-07-28 00:00:00,     22347842.000
2000-07-29 00:00:00,     43625568.000
2000-07-30 00:00:00,     40611944.000
2000-07-31 00:00:00,     38924420.000
2000-08-01 00:00:00,     70727352.000
2000-08-02 00:00:00,     77889424.000
2000-08-03 00:00:00,     43037712.000
2000-08-04 00:00:00,     19956280.000
2000-08-05 00:00:00,     22905892.000
2000-08-06 00:00:00,     17004448.000
2000-08-07 00:00:00,     32446292.000
2000-08-08 00:00:00,     40155024.000
2000-08-09 00:00:00,     41628196.000
2000-08-10 00:00:00,     36598784.000
2000-08-11 00:00:00,     24348378.000
2000-08-12 00:00:00,     38786776.000
2000-08-13 00:00:00,     43164592.000
2000-08-14 00:00:00,     41942548.000
2000-08-15 00:00:00,     26352966.000
2000-08-16 00:00:00,     26256814.000
2000-08-17 00:00:00,     26819992.000
2000-08-18 00:00:00,     30812322.000
2000-08-19 00:00:00,     37153616.000
2000-08-20 00:00:00,     35667240.000
2000-08-21 00:00:00,     26265474.000
2000-08-22 00:00:00,     16111071.000
2000-08-23 00:00:00,     15871566.000
2000-08-24 00:00:00,     19815394.000
2000-08-25 00:00:00,     11413488.000
2000-08-26 00:00:00,      7155462.000
2000-08-27 00:00:00,     10194084.000
2000-08-28 00:00:00,      7499514.500
2000-08-29 00:00:00,      7507871.000
2000-08-30 00:00:00,      8923667.000
2000-08-31 00:00:00,     13665509.000
2000-09-01 00:00:00,     16992516.000
2000-09-02 00:00:00,      8961553.000
2000-09-03 00:00:00,     33152656.000
2000-09-04 00:00:00,     41419100.000
2000-09-05 00:00:00,     10678166.000
2000-09-06 00:00:00,      7574817.000
2000-09-07 00:00:00,      6466925.000
2000-09-08 00:00:00,      6205141.500
2000-09-09 00:00:00,      6873667.500
2000-09-10 00:00:00,      6273559.000
2000-09-11 00:00:00,      4072409.000
2000-09-12 00:00:00,      2670919.750
2000-09-13 00:00:00,      3859670.000
2000-09-14 00:00:00,      4862282.000
2000-09-15 00:00:00,      2815436.000
2000-09-16 00:00:00,      1413498.625
2000-09-17 00:00:00,      1726853.875
2000-09-18 00:00:00,      5579816.000
2000-09-19 00:00:00,       512742.906
2000-09-20 00:00:00,       663100.125
2000-09-21 00:00:00,       568067.125
2000-09-22 00:00:00,      3620145.500
2000-09-23 00:00:00,      4466343.000
2000-09-24 00:00:00,      4027596.750
2000-09-25 00:00:00,      5024826.500
2000-09-26 00:00:00,      6211993.000
2000-09-27 00:00:00,      3766195.750
2000-09-28 00:00:00,      2683412.250
2000-09-29 00:00:00,      2065587.125
2000-09-30 00:00:00,       257297.062
2000-10-01 00:00:00,       255556.016
2000-10-02 00:00:00,       256172.297
2000-10-03 00:00:00,       253100.859
2000-10-04 00:00:00,       253865.875
2000-10-05 00:00:00,       253744.547
2000-10-06 00:00:00,       592541.500
2000-10-07 00:00:00,       332971.781
2000-10-08 00:00:00,       250815.219
2000-10-09 00:00:00,       252103.422
2000-10-10 00:00:00,       248937.281
