#date, smb_rec (m3WE)
2000-01-31,3363829093.953
2000-02-29,1701281995.718
2000-03-31,2705159222.274
2000-04-30,2799194801.641
2000-05-31,2821577835.0
2000-06-30,-14284206.5
2000-07-31,424840560.0
2000-08-31,373024651.437
2000-09-30,2935049372.344
2000-10-31,1350183734.953
2000-11-30,1237806658.111
2000-12-31,993033606.1980001
2001-01-31,3751272602.031
2001-02-28,2530401776.645
2001-03-31,1028643002.688
2001-04-30,1454034516.579
2001-05-31,1643540841.125
2001-06-30,848411015.437
2001-07-31,-661568652.0
2001-08-31,514074155.5
2001-09-30,3682378324.875
2001-10-31,1283180364.446
2001-11-30,4298272105.125
2001-12-31,4611330253.563
2002-01-31,2903110943.903001
2002-02-28,1284134916.266
2002-03-31,1831801144.063
2002-04-30,1469851869.384
2002-05-31,1593429683.771
2002-06-30,1649336129.117
2002-07-31,616765464.5
2002-08-31,1101935153.187
2002-09-30,4177505600.262
2002-10-31,3367732571.625
2002-11-30,2506964311.501
2002-12-31,5194478947.0
2003-01-31,3053779441.437
2003-02-28,2844044668.125
2003-03-31,3322543486.11
2003-04-30,5085598498.5
2003-05-31,1742840347.313
2003-06-30,-2506079.781000018
2003-07-31,-402265346.125
2003-08-31,546161053.0
2003-09-30,1618006071.0
2003-10-31,2964586244.625
2003-11-30,2102692261.8519998
2003-12-31,2247426555.375
2004-01-31,1218646864.25
2004-02-29,3171267847.328
2004-03-31,4596673832.344
2004-04-30,1803940545.875
2004-05-31,900391520.217
2004-06-30,-133554928.0
2004-07-31,1439218432.0
2004-08-31,947568091.5
2004-09-30,2213996890.999
2004-10-31,984592336.2919999
2004-11-30,2478337549.737
2004-12-31,1193211740.0629997
2005-01-31,4091053725.75
2005-02-28,3337578524.859
2005-03-31,3271776068.499
2005-04-30,2909057026.707
2005-05-31,441068729.125
2005-06-30,1128344308.047
2005-07-31,649442856.0
2005-08-31,518833813.43799996
2005-09-30,466045735.688
2005-10-31,1428285228.687
2005-11-30,2860532360.75
2005-12-31,2975357702.876
2006-01-31,2702587838.421
2006-02-28,2135920426.625
2006-03-31,1429080800.5319998
2006-04-30,1197728315.586
2006-05-31,896502904.125
2006-06-30,1136948405.125
2006-07-31,349191518.82800007
2006-08-31,1844453857.125
2006-09-30,1981550423.4380002
2006-10-31,558629333.8190002
2006-11-30,846152986.901
2006-12-31,3872949172.875
2007-01-31,2819226805.196
