#date, smb_rec (m3WE)
2000-01-01 00:00:00,     57432856.000
2000-01-02 00:00:00,     17752166.000
2000-01-03 00:00:00,     59106176.000
2000-01-04 00:00:00,     30309996.000
2000-01-05 00:00:00,    142511040.000
2000-01-06 00:00:00,     91455656.000
2000-01-07 00:00:00,        33769.078
2000-01-08 00:00:00,     59492416.000
2000-01-09 00:00:00,     13982059.000
2000-01-10 00:00:00,     76765896.000
2000-01-11 00:00:00,     44775276.000
2000-01-12 00:00:00,     50937116.000
2000-01-13 00:00:00,    308288864.000
2000-01-14 00:00:00,    438506464.000
2000-01-15 00:00:00,    214621312.000
2000-01-16 00:00:00,     10342538.000
2000-01-17 00:00:00,     45861264.000
2000-01-18 00:00:00,    121751848.000
2000-01-19 00:00:00,    226209872.000
2000-01-20 00:00:00,    380207008.000
2000-01-21 00:00:00,     13078205.000
2000-01-22 00:00:00,    122448376.000
2000-01-23 00:00:00,    220207664.000
2000-01-24 00:00:00,    331658400.000
2000-01-25 00:00:00,      8428498.000
2000-01-26 00:00:00,     -1263940.125
2000-01-27 00:00:00,    107535632.000
2000-01-28 00:00:00,     10883497.000
2000-01-29 00:00:00,     10799678.000
2000-01-30 00:00:00,     53665284.000
2000-01-31 00:00:00,     96044208.000
2000-02-01 00:00:00,     27704488.000
2000-02-02 00:00:00,     55376780.000
2000-02-03 00:00:00,     13747556.000
2000-02-04 00:00:00,     68088448.000
2000-02-05 00:00:00,     67379960.000
2000-02-06 00:00:00,     62390348.000
2000-02-07 00:00:00,     80301104.000
2000-02-08 00:00:00,    190702624.000
2000-02-09 00:00:00,    176241840.000
2000-02-10 00:00:00,     65242648.000
2000-02-11 00:00:00,     21166128.000
2000-02-12 00:00:00,      -394947.469
2000-02-13 00:00:00,     51198684.000
2000-02-14 00:00:00,     74953032.000
2000-02-15 00:00:00,      8673002.000
2000-02-16 00:00:00,     10867684.000
2000-02-17 00:00:00,     12494555.000
2000-02-18 00:00:00,       647191.062
2000-02-19 00:00:00,    142991696.000
2000-02-20 00:00:00,    130173112.000
2000-02-21 00:00:00,     21981982.000
2000-02-22 00:00:00,     12708891.000
2000-02-23 00:00:00,      1103026.375
2000-02-24 00:00:00,      2039338.250
2000-02-25 00:00:00,      2775377.500
2000-02-26 00:00:00,      5515140.500
2000-02-27 00:00:00,      4943571.500
2000-02-28 00:00:00,    137273664.000
2000-02-29 00:00:00,    252995072.000
2000-03-01 00:00:00,     90921776.000
2000-03-02 00:00:00,     16903978.000
2000-03-03 00:00:00,    149229344.000
2000-03-04 00:00:00,    107516448.000
2000-03-05 00:00:00,     -3722738.250
2000-03-06 00:00:00,      9344576.000
2000-03-07 00:00:00,     29451790.000
2000-03-08 00:00:00,    111000416.000
2000-03-09 00:00:00,     31330832.000
2000-03-10 00:00:00,     99270008.000
2000-03-11 00:00:00,    293259680.000
2000-03-12 00:00:00,     91429184.000
2000-03-13 00:00:00,     18448370.000
2000-03-14 00:00:00,     11559862.000
2000-03-15 00:00:00,    196043728.000
2000-03-16 00:00:00,    144734272.000
2000-03-17 00:00:00,     56469340.000
2000-03-18 00:00:00,     15514080.000
2000-03-19 00:00:00,     -7487717.500
2000-03-20 00:00:00,     -6977573.000
2000-03-21 00:00:00,     -1712233.625
2000-03-22 00:00:00,       816630.000
2000-03-23 00:00:00,      -229203.203
2000-03-24 00:00:00,     48720344.000
2000-03-25 00:00:00,    181463584.000
2000-03-26 00:00:00,     88955928.000
2000-03-27 00:00:00,    632072128.000
2000-03-28 00:00:00,    292726304.000
2000-03-29 00:00:00,      9103955.000
2000-03-30 00:00:00,      -978331.375
2000-03-31 00:00:00,       -19537.773
2000-04-01 00:00:00,     55857448.000
2000-04-02 00:00:00,    103812888.000
2000-04-03 00:00:00,    214035440.000
2000-04-04 00:00:00,    116474328.000
2000-04-05 00:00:00,     55496416.000
2000-04-06 00:00:00,      8709013.000
2000-04-07 00:00:00,    417089984.000
2000-04-08 00:00:00,     83865992.000
2000-04-09 00:00:00,     -4419114.500
2000-04-10 00:00:00,     -6698093.000
2000-04-11 00:00:00,     14222948.000
2000-04-12 00:00:00,      9913994.000
2000-04-13 00:00:00,     25181358.000
2000-04-14 00:00:00,     -8329127.000
2000-04-15 00:00:00,     14760552.000
2000-04-16 00:00:00,     38190788.000
2000-04-17 00:00:00,      5385109.000
2000-04-18 00:00:00,      2110773.750
2000-04-19 00:00:00,      -104736.203
2000-04-20 00:00:00,      -935826.812
2000-04-21 00:00:00,      -381013.688
2000-04-22 00:00:00,      1279298.500
2000-04-23 00:00:00,      -187611.656
2000-04-24 00:00:00,      3150948.250
2000-04-25 00:00:00,    152630944.000
2000-04-26 00:00:00,    555267904.000
2000-04-27 00:00:00,    563465472.000
2000-04-28 00:00:00,    324770368.000
2000-04-29 00:00:00,     31865306.000
2000-04-30 00:00:00,     22713052.000
2000-05-01 00:00:00,      8029594.000
2000-05-02 00:00:00,     68184576.000
2000-05-03 00:00:00,    272940608.000
2000-05-04 00:00:00,      7187673.000
2000-05-05 00:00:00,    129344384.000
2000-05-06 00:00:00,      7589364.500
2000-05-07 00:00:00,     36002664.000
2000-05-08 00:00:00,      7232344.000
2000-05-09 00:00:00,     -6466303.500
2000-05-10 00:00:00,    326674112.000
2000-05-11 00:00:00,    502721952.000
2000-05-12 00:00:00,    506996672.000
2000-05-13 00:00:00,    179314640.000
2000-05-14 00:00:00,    399661344.000
2000-05-15 00:00:00,    130821552.000
2000-05-16 00:00:00,     33361856.000
2000-05-17 00:00:00,     23420024.000
2000-05-18 00:00:00,     34250828.000
2000-05-19 00:00:00,     67870192.000
2000-05-20 00:00:00,     81355944.000
2000-05-21 00:00:00,     36076060.000
2000-05-22 00:00:00,      4210543.500
2000-05-23 00:00:00,      8506242.000
2000-05-24 00:00:00,     -5547173.000
2000-05-25 00:00:00,     -6163906.500
2000-05-26 00:00:00,     -8810383.000
2000-05-27 00:00:00,    -13465118.000
2000-05-28 00:00:00,     -7543566.000
2000-05-29 00:00:00,     -8630319.000
2000-05-30 00:00:00,     -4810215.000
2000-05-31 00:00:00,     11261650.000
2000-06-01 00:00:00,      5882299.500
2000-06-02 00:00:00,     68633696.000
2000-06-03 00:00:00,     18653194.000
2000-06-04 00:00:00,    110742920.000
2000-06-05 00:00:00,    104548672.000
2000-06-06 00:00:00,      5608729.000
2000-06-07 00:00:00,    -16359647.000
2000-06-08 00:00:00,    -16129978.000
2000-06-09 00:00:00,    -16842354.000
2000-06-10 00:00:00,    -13579782.000
2000-06-11 00:00:00,    -10772990.000
2000-06-12 00:00:00,    -12777309.000
2000-06-13 00:00:00,    -16466420.000
2000-06-14 00:00:00,    -11861458.000
2000-06-15 00:00:00,    -15359346.000
2000-06-16 00:00:00,    -16900408.000
2000-06-17 00:00:00,    -19577588.000
2000-06-18 00:00:00,    -20584182.000
2000-06-19 00:00:00,    -16027110.000
2000-06-20 00:00:00,    -20677314.000
2000-06-21 00:00:00,    -14424969.000
2000-06-22 00:00:00,    -18443176.000
2000-06-23 00:00:00,    -24709768.000
2000-06-24 00:00:00,    -17808034.000
2000-06-25 00:00:00,    -20319714.000
2000-06-26 00:00:00,    -22751984.000
2000-06-27 00:00:00,    -18251548.000
2000-06-28 00:00:00,    -12713144.000
2000-06-29 00:00:00,     64354940.000
2000-06-30 00:00:00,    -19370434.000
2000-07-01 00:00:00,    -32088780.000
2000-07-02 00:00:00,    -26061776.000
2000-07-03 00:00:00,    -30347730.000
2000-07-04 00:00:00,    -31765210.000
2000-07-05 00:00:00,    -35239408.000
2000-07-06 00:00:00,    -37362260.000
2000-07-07 00:00:00,    -38781452.000
2000-07-08 00:00:00,    -42793712.000
2000-07-09 00:00:00,    -56730156.000
2000-07-10 00:00:00,    -50518084.000
2000-07-11 00:00:00,    -46186456.000
2000-07-12 00:00:00,    -45721480.000
